Run,Energy (GeV),Crystal,Table X (mm),Table Y (mm),Events
13338,243.48,C3,212,282,14k
13341,243.48,C3,212,282,66k
13342,243.48,C3,212,282,12k
13343,243.48,C3,212,282,53k
13345,197.27,C3,212,282,29k
13346,197.27,C3,212,282,92k
13347,197.27,C3,212,282,36k
13349,149.12,C3,212,282,151k
13350,99.83,C3,212,282,152k
13351,49.99,C3,212,282,60k
13352,49.99,C3,212,282,105k
13353,243.48,C3,212,282,196k
13355,243.48,C3,212,282,140k
